run,config,refit_idx,step_idx,loss,grad_norm,learning_rate,epoch
v2,G1_C2.1,4,10,0.2443,1.1329357624053955,6.700000000000001e-06,0.33
v2,G1_C2.1,4,11,0.2679,0.4014275372028351,3.366666666666667e-06,0.67
v2,G1_C2.1,4,12,0.2719,1.8582619428634644,3.333333333333334e-08,1.0
v2,G1_C2.1,5,13,0.2778,1.0344125032424927,6.700000000000001e-06,0.33
v2,G1_C2.1,5,14,0.2549,0.5368958711624146,3.366666666666667e-06,0.67
v2,G1_C2.1,5,15,0.2565,2.400804042816162,3.333333333333334e-08,1.0
v2,G1_C2.1,6,16,0.2665,2.5104753971099854,6.700000000000001e-06,0.33
v2,G1_C2.1,6,17,0.2521,0.48688551783561707,3.366666666666667e-06,0.67
v2,G1_C2.1,6,18,0.285,5.038644790649414,3.333333333333334e-08,1.0
v2,G1_C2.1,7,19,0.266,1.1579736471176147,6.700000000000001e-06,0.33
v2,G1_C2.1,7,20,0.2767,4.113279342651367,3.366666666666667e-06,0.67
v2,G1_C2.1,7,21,0.2974,0.3141794502735138,3.333333333333334e-08,1.0
v2,G1_C2.1,8,22,0.3123,0.7158267498016357,6.700000000000001e-06,0.33
v2,G1_C2.1,8,23,0.2741,0.6403922438621521,3.366666666666667e-06,0.67
v2,G1_C2.1,8,24,0.2408,0.7169414758682251,3.333333333333334e-08,1.0
v2,G1_C2.1,9,25,0.3024,1.0933194160461426,6.700000000000001e-06,0.33
v2,G1_C2.1,9,26,0.2373,0.7058754563331604,3.366666666666667e-06,0.67
v2,G1_C2.1,9,27,0.2618,0.37233129143714905,3.333333333333334e-08,1.0
v2,G1_C2.1,10,28,0.3482,3.5016274452209473,6.700000000000001e-06,0.33
v2,G1_C2.1,10,29,0.3573,0.4107809066772461,3.366666666666667e-06,0.67
v2,G1_C2.1,10,30,0.2466,0.510237991809845,3.333333333333334e-08,1.0
v2,G1_C2.2,1,1,0.2364,1.0673894882202148,6.700000000000001e-06,0.33
v2,G1_C2.2,1,2,0.1991,1.1724317073822021,3.366666666666667e-06,0.67
v2,G1_C2.2,1,3,0.2175,0.8396891951560974,3.333333333333334e-08,1.0
v2,G1_C2.2,2,4,0.2428,1.4222946166992188,6.700000000000001e-06,0.33
v2,G1_C2.2,2,5,0.2622,1.1584351062774658,3.366666666666667e-06,0.67
v2,G1_C2.2,2,6,0.2651,0.7617299556732178,3.333333333333334e-08,1.0
v2,G1_C2.2,3,7,0.245,0.6568142175674438,6.700000000000001e-06,0.33
v2,G1_C2.2,3,8,0.2358,1.3710025548934937,3.366666666666667e-06,0.67
v2,G1_C2.2,3,9,0.2494,1.5043081045150757,3.333333333333334e-08,1.0
v2,G1_C2.2,4,10,0.2404,1.0090638399124146,6.700000000000001e-06,0.33
v2,G1_C2.2,4,11,0.2589,0.4410507380962372,3.366666666666667e-06,0.67
v2,G1_C2.2,4,12,0.2504,2.1751255989074707,3.333333333333334e-08,1.0
v2,G1_C2.2,5,13,0.266,0.9524269700050354,6.700000000000001e-06,0.33
v2,G1_C2.2,5,14,0.2518,0.7483814358711243,3.366666666666667e-06,0.67
